artist.name,bars_start,beats_start,duration,end_of_fade_in,familiarity,key,key_confidence,loudness,mode,song.hotttnesss,start_of_fade_out,tatums_start,tempo,terms,time_signature,title,year
Casual,0.58521,0.58521,218.93179,0.247,0.581793766,1,0.736,-11.197,0,0.60211999,218.932,0.28519,92.198,hip hop,4,I Didnt Mean To,0
The Box Tops,0.71054,0.20627,148.03546,0.148,0.630630038,6,0.169,-9.843,0,,137.915,0.20627,121.274,blue-eyed soul,4,Soul Deep,1969
Sonora Santanera,0.73152,0.73152,177.47546,0.282,0.487356791,8,0.643,-9.689,1,,172.304,0.42132,100.07,salsa,1,Amor De Cabaret,0
Adam Ant,1.30621,0.81002,233.40363,0,0.630382334,0,0.751,-9.013,1,,217.124,0.56254,119.293,pop rock,4,Something Girls,1982
Gob,1.06368,0.13576,209.60608,0.066,0.651045661,2,0.092,-4.501,1,0.604500739,198.699,0.13576,129.738,pop punk,4,Face the Ashes,2007
Jeff And Sheri Easter,1.17118,0.74856,267.7024,2.264,0.535292736,5,0.635,-9.323,1,,254.27,0.53929,147.782,southern gospel,3,The Moon And I (Ordinary Day Album Version),0
Rated R,0.27253,0.27253,114.78159,0.096,0.556495602,1,0,-17.302,1,,114.782,0.05611,111.787,breakbeat,1,Keepin It Real (Skit),0
Tweeterfriendly Music,0.65428,0.65428,189.57016,0.319,0.801136447,4,0,-11.642,0,,181.023,0.36129,101.43,post-hardcore,3,Drop of Rain,0
Planet P Project,1.91886,1.22595,269.81832,5.3,0.426667857,4,0.717,-13.496,1,0.265861049,258.99,1.22595,86.643,new wave,4,Pink World,1984
Clp,0.62445,0.09933,266.39628,0.084,0.550513698,7,0.053,-6.697,0,,261.747,0.09933,114.041,breakcore,4,Insatiable (Instrumental Version),0
JennyAnyKind,0.11194,0.11194,218.77506,2.125,0.360031167,5,0.354,-10.021,0,0,207.012,0.11194,146.765,alternative rock,1,Young Boy Blues,0
Wayne Watson,1.45439,0.42896,245.21098,0.357,0.545159296,7,0.07,-7.545,1,0.265861049,227.48,0.1727,117.975,ccm,4,The Urgency (LP Version),0
Andy Andy,1.2229,0.29639,226.35057,0,0.577508974,9,0.205,-6.632,1,0,221.553,0.06508,130.04,bachata,4,La Culpa,0
Bob Azzam,0.46223,0.46223,191.84281,0.38,0.085512047,10,0,-7.75,0,0,188.424,0.23506,137.334,chanson,1,Auguri Cha Cha,0
Lionel Richie,0.82842,0.82842,307.3824,0.612,0.776675856,3,0.524,-8.346,1,,296.658,0.58901,125.197,quiet storm,3,Tonight Will Be Alright,1986
Blue Rodeo,1.32118,0.30065,491.12771,0,0.636423645,7,1,-8.576,1,0.405115722,486.034,0.05047,119.826,country rock,4,Floating,1987
Richard Souther,1.19076,0.24795,228.5971,0.223,0.419943148,8,0.041,-16.11,1,0.334706549,217.426,0.08584,127.756,chill-out,5,High Tide,0
Faiz Ali Faiz,0.90668,0.27615,599.24853,1.193,0.363280571,6,0.06,-8.032,1,,591.999,0.12168,99.273,qawwali,4,Sohna Nee Sohna Data,0
Tesla,0.8752,0.05728,290.29832,0.145,0.707199764,7,0.725,-5.271,1,0.684136191,285.605,0.05728,150.062,hard rock,4,Caught In A Dream,2004
lextrical,0.66829,0.22335,165.69424,0.162,0.32031437,7,0.011,-6.787,1,0,157.391,0.22335,138.331,indietronica,4,Synthetic Dream,0
Jimmy Wakely,0.12236,0.12236,151.84934,2.827,0.39413854,1,0.799,-15.221,1,,146.199,0.12236,86.186,classic country,3,Broken-Down Merry-Go-Round,0
Alice Stuart,0.46253,0.46253,220.78649,0.206,0.489816269,11,0.809,-8.514,1,0,207.656,0.16228,110.382,electric blues,1,Kassie Jones,0
Elena,1.06937,0.51434,269.58322,0,0.677420465,2,0.596,-8.05,1,0.313562114,256.168,0.51434,111.874,uk garage,4,Setanta matins,0
The Dillinger Escape Plan,1.06698,0.33578,207.77751,0.061,0.839962768,7,0.381,-4.264,1,0.666527846,204.696,0.15349,166.862,math-core,4,Setting Fire to Sleeping Giants,2004
SUE THOMPSON,0.70311,0.26706,124.86485,0,0.435415818,10,0.697,-12.332,1,0.495293621,115.74,0.04025,137.522,pop rock,4,James (Hold The Ladder Steady),1985
Five Bolt Main,0.08901,0.08901,225.09669,0,0.6090637,7,0.53,-5.908,1,0.375984302,225.097,0.08901,164.672,post-grunge,1,Made Like This (Live),0
Clp,0.93643,0.45716,338.31138,0,0.550513698,6,0.687,-6.486,0,,338.311,0.21693,125.006,breakcore,4,Superconfidential,0
Tim Wilson,0.52648,0.52648,186.48771,1.083,0.459797129,5,0.762,-4.516,1,,175.467,0.07391,90.022,filk,1,I Think My Wife Is Running Around On Me (Taco Hell),2005
Willie Bobo,1.01964,0.06314,168.25424,0.2,0.588827101,8,0.812,-9.616,1,,161.89,0.06314,127.025,latin jazz,4,Spanish Grease,1997
Faye Adams,0.97531,0.3393,156.39465,0.562,0.396455254,8,0.569,-18.051,1,0,150.634,0.3393,95.957,jump blues,3,Crazy Mixed Up World,1961
Terry Callier,0.96908,0.42073,342.56934,0.063,0.706827671,6,0.381,-11.939,1,0.413739836,333.154,0.13836,110.189,soul jazz,3,Do You Finally Need A Friend,1972
John Wesley,0.56075,0.56075,484.62322,28.172,0.560557984,4,0.283,-15.335,0,0.377531645,480.363,0.56075,138.007,disco,4,The Emperor Falls,0
The Shangri-Las,0.10131,0.10131,164.80608,0,0.640807102,10,0.254,-10.922,1,0.443291312,156.177,0.10131,130.1,doo-wop,1,Twist and Shout,1964
Billie Jo Spears,0.24118,0.24118,133.32853,0,0.523714637,4,0.384,-9.983,1,0,130.009,0.04851,160.839,classic country,1,It Makes No Difference Now,1992
